State,Population
Andhra Pradesh,76210007
Arunachal Pradesh,1097968
Assam,26655528
Bihar,82998509
Chandigarh,900635
Chhattisgarh,20833803
Dadra & Nagar Haveli,220490
Daman & Diu,158204
Delhi,13850507
Goa,1347668
Gujarat,50671017
Haryana,21144564
Himachal Pradesh,6077900
Jammu & Kashmir,10143700
Jharkhand,26945829
Karnataka,52850562
Kerala,31841374
Madhya Pradesh,60348023
Maharashtra,96878627
Manipur,2293896
Meghalaya,2318822
Mizoram,888573
Nagaland,1990036
Odisha,36804660
Puducherry,974345
Punjab,24358999
Rajasthan,56507188
Sikkim,540851
Tamil Nadu,62405679
Uttar Pradesh,166197921
Uttarakhand,8489349
West Bengal,80176197
